REFERENCE_NUM,PRODUCT_INDEX,VEHICLE_MODEL_CODE,CLAIMNO,CLAIM_NO,PARTNO,PARTDESCRIPTION,TOTAL_AMOUNT,NUM_CLAIM_NO
202010300047262,N000706,25375.0,'23002029284000000001,C230020292840,11710M53M00,"MOUNTING COMP,ENG RR",288.28,2.3002029284e+19
202010300047262,N000706,25375.0,'23002029284000000001,C230020292840,71772M53MB0,"GUIDE,GRILLE AIR",152.34,2.3002029284e+19
202008040022507,N000706,25375.0,'23002029183300000001,C230020291833,35321M53MA0,"UNIT HEAD LAMP, LH",1703.38,2.30020291833e+19
202012240055485,N000706,30135.0,'23002032280800000001,C230020322808,71711M64MA0-5PK,"BUMPER,FRONT UPPER",640.62,2.30020322808e+19
202012240055485,N000706,30135.0,'23002032280800000001,C230020322808,71713M64R00-5PK,"COVER,FRONT BUMPER CAP",30.46,2.30020322808e+19
202012240055485,N000706,30135.0,'23002032280800000001,C230020322808,77862M86G00-0PG,EMBLEM(DDIS),39.84,2.30020322808e+19
202001160041877,N000706,26415.0,'23002032218000000001,C230020322180,83922M75J10-0CB,"TAPE,FRONT DOOR OUTER FR,L",440.67,2.3002032218e+19
202004090015705,N000706,30557.0,'23002032180200000001,C230020321802,83970M68P00,"HOLDER, BACK DOOR SWITCH",39.84,2.30020321802e+19
202004090015705,N000706,30557.0,'23002032180200000001,C230020321802,69100M68P43,PANEL ASSY BACK DOOR,5031.25,2.30020321802e+19
201904170052572,N000706,30563.0,'23002032132900000001,C230020321329,71711M50S00-5PK,"BUMPER,FRONT",1984.37,2.30020321329e+19
201904170052572,N000706,30563.0,'23002032132900000001,C230020321329,99000M24120-290,SEALENT SET,605.93,2.30020321329e+19
202009040136096,N000706,25375.0,'23002032131500000001,C230020321315,38450M53M00,".TANK ASSY, WASHER",96.89,2.30020321315e+19
202009040136096,N000706,25375.0,'23002032131500000001,C230020321315,84702M67P10,ORVM LH ALTO K10,1235.29,2.30020321315e+19
202007010081024,N000706,27579.0,'23002033919000000001,C230020339190,57611M76MC0,"PANEL,FRONT FENDER,R",1074.21,2.3002033919e+19
202007010081024,N000706,27579.0,'23002033919000000001,C230020339190,71751M76MA0-5PK,"BEZEL,FRONT FOG LAMP,R",628.9,2.3002033919e+19
202011300006881,N000706,36258.0,'23002032840500000001,C230020328405,71732M79M10,"HOLDER,FR BUMPER SIDE,L",50.78,2.30020328405e+19
202011300006881,N000706,36258.0,'23002032840500000001,C230020328405,84730M79M00,".MIRROR, OUT RR VIEW",253.12,2.30020328405e+19
202012040114198,N000706,31270.0,'23002029138800000001,C230020291388,990J0M999H4-050,AC CAN GAS (450GM) SRF,394.06,2.30020291388e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,35300M75L00,HEAD LAMP ASSY LH,2406.77,2.30020279796e+19
202003060041410,N000706,30557.0,'23002030483900000001,C230020304839,03141M05203,SCREW FR.FENDER LINING,1.95,2.30020304839e+19
202003060041410,N000706,30557.0,'23002030483900000001,C230020304839,45202M68P00,"ARM ASSY,FRONT SUSPENSION,L",937.5,2.30020304839e+19
202011300045746,N003410,38318.0,'23002028780700000001,C230020287807,84510M74L00,GLASS WINDSHIELD,2788.13,2.30020287807e+19
202002010030300,N000706,23101.0,'23002028499500000001,C230020284995,57711M56R00,"PANEL, FRONT FENDER,L",836.71,2.30020284995e+19
202002010030300,N000706,23101.0,'23002028499500000001,C230020284995,71811M56R00-5PK,REAR BUMPER(BLACK),1718.75,2.30020284995e+19
201912050076620,N003410,38308.0,'23002026464400000001,C230020264644,58250M53MB0,"REINF COMP,HOOD CUSHION,R",65.62,2.30020264644e+19
202001050023753,N000706,23103.0,'23002014271900000001,C230020142719,33880M56R00,"CABLE SET, BTRY GND",783.89,2.30020142719e+19
202010220126038,N000706,30557.0,'23002032250900000001,C230020322509,82820M68P20-5PK,"HANDLE, FR DR OUT LH (BLACK)",476.56,2.30020322509e+19
202010220126038,N000706,30557.0,'23002032250900000001,C230020322509,83928M69R00-5PK,"TAPE,REAR DOOR PILLAR RR,L",110.16,2.30020322509e+19
202005040037735,N000706,23103.0,'23002032207400000001,C230020322074,68001M56R00,"PANEL ASSY, FRONT DOOR, R",3664.06,2.30020322074e+19
202005040037735,N000706,23103.0,'23002032207400000001,C230020322074,69310M68L00,"HINGE, FRONT DOOR UPPER RH",125.0,2.30020322074e+19
202003030056993,N000706,31268.0,'23002031619600000001,C230020316196,77510M82P00-5PK,"GUARD ASSY,FR DOOR SPLASH,R",207.03,2.30020316196e+19
202001090030519,N000706,30558.0,'23002032724500000001,C230020327245,72322M50S00,"LINING, FRONT FENDER LH",402.34,2.30020327245e+19
202001090030519,N000706,30558.0,'23002032724500000001,C230020327245,18213M68P10,"SENSOR, OXYGEN RR",1500.0,2.30020327245e+19
202001090030519,N000706,30558.0,'23002032724500000001,C230020327245,71721M50S00-5PK,"GRILLE, RADIATOR LOWER (BLACK)",199.21,2.30020327245e+19
202001090030519,N000706,30558.0,'23002032724500000001,C230020327245,99000M24121-110,INTERIOR PROTECTION COVERS -ARENA,16.1,2.30020327245e+19
202001060146263,N000706,19224.0,'23002032601700000001,C230020326017,71711M67LA0-5PK,"BUMPER,FRONT",1050.78,2.30020326017e+19
202001060146263,N000706,19224.0,'23002032601700000001,C230020326017,71731M67L00,"HOLDER, FR BUMPER SIDE RH",58.59,2.30020326017e+19
202001060146263,N000706,19224.0,'23002032601700000001,C230020326017,71771M67LA0-5PK,"GRILLE,RADIATOR LOWER",453.12,2.30020326017e+19
202001060146263,N000706,19224.0,'23002032601700000001,C230020326017,90900M10164,DISTILLED WATER,8.47,2.30020326017e+19
202008170079876,N000706,31267.0,'23002032569700000001,C230020325697,83923M82P00-0CB,"TAPE,FRONT DOOR OUTER UPR,R",144.91,2.30020325697e+19
202008170079876,N000706,31267.0,'23002032569700000001,C230020325697,77862M86G00-0PG,EMBLEM(DDIS),38.28,2.30020325697e+19
202011180092995,N000706,23101.0,'23002032370700000001,C230020323707,99000M24120-879,MASKING TAPE ( 24 MM*30 MTRS),44.91,2.30020323707e+19
202006020006965,N000706,35708.0,'23002032035100000001,C230020320351,64561M67L00,"BOX,FUEL INLET",110.93,2.30020320351e+19
201912040011819,N000706,25375.0,'23002026839500000001,C230020268395,95720M53M00,"HOSE,DISCHARGE",699.21,2.30020268395e+19
201912040011819,N000706,25375.0,'23002026839500000001,C230020268395,57420M53MB0,"HINGE COMP,FRONT HOOD,L",101.56,2.30020268395e+19
201912040011819,N000706,25375.0,'23002026839500000001,C230020268395,71741M53MB0-5PK,"NET,FRONT BUMPER",820.31,2.30020268395e+19
201912040011819,N000706,25375.0,'23002026839500000001,C230020268395,17700M53M10,RADIATOR ASSY,1710.93,2.30020268395e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,56315M68P00,"HARNESS, RR WHEEL SENSOR",316.4,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,72422M68P01,"COVER, ENGINE UNDER SIDE, L",199.21,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,77862M86G00-0PG,EMBLEM(DDIS),39.84,2.30020217838e+19
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,57410M55R00,"HINGE COMP, FRONT HOOD, R",246.09,2.30020217838e+19
202005050023005,N000706,30559.0,'23002032102900000001,C230020321029,37735M68P01-5PK,"SENSOR ASSY, PARK (BLACK)",813.55,2.30020321029e+19
202009040136096,N000706,25375.0,'23002032131500000001,C230020321315,11651M53M00,"BRACKET,ENG MTG LH",383.72,2.30020321315e+19
202009040136096,N000706,25375.0,'23002032131500000001,C230020321315,58121M53M00,"BRACE,LAMP SUPPORT,L",165.89,2.30020321315e+19
202009040136096,N000706,25375.0,'23002032131500000001,C230020321315,23266M53M20,"ARM,CLUTCH RELEASE",80.62,2.30020321315e+19
202009040136096,N000706,25375.0,'23002032131500000001,C230020321315,38930M79M00,"SENSOR ASSY,FORWARD",593.02,2.30020321315e+19
202011040254466,N000706,36542.0,'23002031978400000001,C230020319784,09471M12236,BULB H16,355.08,2.30020319784e+19
202011040254466,N000706,36542.0,'23002031978400000001,C230020319784,71782M56R10-0PG,"GARNISH, FR BUMPER LOWER, L",339.84,2.30020319784e+19
202011280097094,N000706,18914.0,'23002031755600000001,C230020317556,77851M54G00-0PG,"EMBLEM, VVT (CHROME)",35.93,2.30020317556e+19
202012040114198,N000706,31270.0,'23002029138800000001,C230020291388,71794M82P00-5PK,"GARNISH,FR BUMPER SIDE,L",60.93,2.30020291388e+19
202012040114198,N000706,31270.0,'23002029138800000001,C230020291388,71742M82P00-0PG,"GARNISH,RADIATOR UPPER GRILLE",1085.93,2.30020291388e+19
202012040114198,N000706,31270.0,'23002029138800000001,C230020291388,71731M82P01,HOLDERFR BUMPER SIDER,71.87,2.30020291388e+19
