REFERENCE_NUM,PRODUCT_INDEX,VEHICLE_MODEL_CODE,CLAIMNO,NUM_CLAIM_NO,TXT_PARTS_GROUP_NAME,TXT_PARTS_NAME,TOTAL_AMOUNT,NUM_PART_CODE
202108250021226,N000706,23103.0,'23002200845300000001,2.30022008453e+19,Metalic Parts,Tail Light Housing Left,285.0,1524
202108250021226,N000706,23103.0,'23002200845300000001,2.30022008453e+19,Rubber Plastic Parts,Bracket 2,74.0,2361
202112200006060,N000706,23101.0,'23002200178500000001,2.30022001785e+19,Rubber Plastic Parts,Bumper Front Assembly,1460.93,1001
202003070047109,N000706,41761.0,'23002200276100000001,2.30022002761e+19,Metalic Parts,Wheel Rim Steel Rear Right,1171.87,1032
202003070047109,N000706,41761.0,'23002200276100000001,2.30022002761e+19,Rubber Plastic Parts,Sealant Rear Right Quarter Glass 1,614.4,1409
202105020006333,N000706,36252.0,'23002200665500000001,2.30022006655e+19,Rubber Plastic Parts,Bumper Front Assembly,2312.0,1001
202112310119509,N000706,30563.0,'23002200817000000001,2.3002200817e+19,Rubber Plastic Parts,Moulding Front Windshield,363.0,1035
202112310119509,N000706,30563.0,'23002200817000000001,2.3002200817e+19,Glass Parts,Windshield Glass Front,2949.0,1003
202109200080966,N000706,18914.0,'23002148037300000001,2.30021480373e+19,Metalic Parts,Support Front Strut,277.34,9999
202109200080966,N000706,18914.0,'23002148037300000001,2.30021480373e+19,Rubber Plastic Parts,Cover Engine Under Side Left,225.0,9999
202203050046629,N000706,12801.0,'23002150127200000001,2.30021501272e+19,Rubber Plastic Parts,"TANK ASSY, WASHER",140.0,9999
202105250074595,N000706,24005.0,'23002200812900000001,2.30022008129e+19,Rubber Plastic Parts,LINING,355.0,9999
202110090033805,N000706,39246.0,'23002200026000000001,2.3002200026e+19,Rubber Plastic Parts,Emblem|Logo Quarter Panel Left 2,70.0,1078
202110090033805,N000706,39246.0,'23002200026000000001,2.3002200026e+19,Rubber Plastic Parts,Emblem|Logo Rear Middle,105.0,1086
202110090033805,N000706,39246.0,'23002200026000000001,2.3002200026e+19,Rubber Plastic Parts,Bracket 1,44.0,2360
202104270091650,N000706,30135.0,'23002200075800000001,2.30022000758e+19,Metalic Parts,Horn Assembly Low Pitch,308.59,1190
202104270091650,N000706,30135.0,'23002200075800000001,2.30022000758e+19,Rubber Plastic Parts,Radiator Assembly,4273.43,1337
202104170026264,N000706,41212.0,'23002151066100000001,2.30021510661e+19,Rubber Plastic Parts,Bumper Front Assembly,1488.28,1001
202111170082723,N000706,40508.0,'23002202606000000001,2.3002202606e+19,Rubber Plastic Parts,Bumper Front Assembly,1476.56,1001
202107130035722,N000706,36956.0,'23002201055200000001,2.30022010552e+19,Rubber Plastic Parts,Rear View Fender Mirror Right,4139.83,2092
202107130035722,N000706,36956.0,'23002201055200000001,2.30022010552e+19,Rubber Plastic Parts,"TAPE,FRONT DOOR OUTER RR,R(BL",165.25,9999
202110220072797,N000706,36546.0,'23002200827800000001,2.30022008278e+19,Metalic Parts,Door Front Left,3898.0,1016
202201100041908,N000706,32287.0,'23002201091900000001,2.30022010919e+19,Rubber Plastic Parts,Bumper Front Assembly,1476.56,1001
202201100041908,N000706,32287.0,'23002201091900000001,2.30022010919e+19,Rubber Plastic Parts,Grille Radiator Lower,406.25,2051
202201100041908,N000706,32287.0,'23002201091900000001,2.30022010919e+19,Rubber Plastic Parts,Head Light Right,2084.74,1023
202201310082175,N000706,12801.0,'23002200886700000001,2.30022008867e+19,Metalic Parts,Inter Cooler,3164.0,2310
202201310082175,N000706,12801.0,'23002200886700000001,2.30022008867e+19,Metalic Parts,CONDENSER ASSY,3417.0,9999
202201310082175,N000706,12801.0,'23002200886700000001,2.30022008867e+19,Rubber Plastic Parts,Hose,546.0,1333
202201310082175,N000706,12801.0,'23002200886700000001,2.30022008867e+19,Rubber Plastic Parts,Grille Radiator Lower,121.0,2051
202203030016062,N000706,19224.0,'23002201932200000001,2.30022019322e+19,Rubber Plastic Parts,Fog Light Front Right,1000.0,1824
202007150071785,N000706,40256.0,'23002146575200000001,2.30021465752e+19,Rubber Plastic Parts,Bumper Front Assembly,1988.28,1001
202201040014204,N000706,38288.0,'23002200279400000001,2.30022002794e+19,Metalic Parts,Fender Panel Front Right,1234.0,1021
202201040014204,N000706,38288.0,'23002200279400000001,2.30022002794e+19,Rubber Plastic Parts,Bumper Front Assembly,1640.0,1001
202202030060260,N000706,38117.0,'23002202163500000001,2.30022021635e+19,Rubber Plastic Parts,lining lh,464.0,9999
202201190077231,N000706,30557.0,'23002200600100000001,2.30022006001e+19,Consumable,CLIP,50.0,9999
201911260005861,N000706,25375.0,'23002140372400000001,2.30021403724e+19,Rubber Plastic Parts,Head Light Right,1771.0,1023
202103020022512,N000706,38118.0,'23002202025200000001,2.30022020252e+19,Rubber Plastic Parts,Tail Light Left,4364.4,1008
202111080063703,N000706,12796.0,'23002149508200000001,2.30021495082e+19,Glass Parts,Windshield Glass Front,3135.59,1003
202108140033491,N003410,41038.0,'23002201322900000001,2.30022013229e+19,Rubber Plastic Parts,Grille Radiator Middle,1449.21,2052
202203030047955,N000706,18914.0,'23002201343500000001,2.30022013435e+19,Rubber Plastic Parts,MOLDING FR PILLAR LOWER L,42.96,9999
202105140057839,N000706,21829.0,'23002201023500000001,2.30022010235e+19,Rubber Plastic Parts,Cover Fog Light Left,54.69,1809
202105140057839,N000706,21829.0,'23002201023500000001,2.30022010235e+19,Rubber Plastic Parts,Head Light Left,2194.92,1022
